City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,kirakira,-10.4544,161.9205,27.85,81,98,4.76,SB,2023-02-08 21:09:59
170,marrakesh,31.6315,-8.0083,13.04,67,40,3.6,MA,2023-02-08 21:13:35
171,vardo,70.3705,31.1107,1.99,80,0,12.86,NO,2023-02-08 21:08:56
172,souillac,-20.5167,57.5167,26.21,83,75,3.6,MU,2023-02-08 21:09:28
173,usinsk,65.9939,57.5281,-2.91,81,79,12.37,RU,2023-02-08 21:17:24
174,dingle,10.9995,122.6711,22.69,91,100,3.27,PH,2023-02-08 21:11:24
175,zvishavane,-20.3267,30.0665,21.47,68,26,1.38,ZW,2023-02-08 21:17:24
176,menomonie,44.8755,-91.9193,7.01,81,0,1.54,US,2023-02-08 21:17:24
177,den helder,52.9599,4.7593,1.68,73,100,4.12,NL,2023-02-08 21:17:25
178,bambous virieux,-20.3428,57.7575,26.23,83,75,3.6,MU,2023-02-08 21:08:23
179,luau,-10.7073,22.2247,17.99,95,67,1.11,AO,2023-02-08 21:17:25
180,vung tau,10.346,107.0843,25.56,80,50,9.05,VN,2023-02-08 21:17:26
181,kruisfontein,-34.0033,24.7314,17.71,75,100,3.08,ZA,2023-02-08 21:08:44
182,kikwit,-5.041,18.8162,23.62,81,100,0.42,CD,2023-02-08 21:17:27
183,tucupita,9.0622,-62.051,28.4,61,26,2.95,VE,2023-02-08 21:17:27
184,sao joao da barra,-21.6403,-41.0511,27.05,91,100,4.34,BR,2023-02-08 21:08:19
185,kailua,21.4022,-157.7394,26.99,58,20,8.23,US,2023-02-08 21:17:28
186,birin,26.8865,88.0718,8.54,67,19,1.41,NP,2023-02-08 21:17:29
187,laguna,38.421,-121.4238,17.38,60,0,2.57,US,2023-02-08 21:10:15
188,shenjiamen,29.9576,122.298,10.32,85,100,7.05,CN,2023-02-08 21:17:30
189,nome,64.5011,-165.4064,-17.96,78,100,0.0,US,2023-02-08 21:17:31
190,tasiilaq,65.6145,-37.6368,-14.91,54,0,4.37,GL,2023-02-08 21:08:32
191,wagar,16.1525,36.2032,18.39,65,12,9.62,SD,2023-02-08 21:17:31
192,tynda,55.1667,124.7167,-37.09,100,94,0.22,RU,2023-02-08 21:17:32
193,hulyaypole,47.6653,36.2578,-7.25,86,6,5.05,UA,2023-02-08 21:17:32
194,dangtu,31.5723,118.4928,7.03,79,100,5.78,CN,2023-02-08 21:17:33
195,hilo,19.7297,-155.09,23.85,73,100,5.14,US,2023-02-08 21:08:20
196,hamilton,39.1834,-84.5333,13.37,52,100,2.57,US,2023-02-08 21:05:54
197,qaqortoq,60.7167,-46.0333,-3.1,93,100,2.68,GL,2023-02-08 21:17:34
198,hofn,64.2539,-15.2082,-4.3,62,88,4.74,IS,2023-02-08 21:08:59
199,teguldet,57.3064,88.1667,-17.26,99,100,1.55,RU,2023-02-08 21:17:35
200,thomasville,35.8826,-80.082,20.25,50,100,1.83,US,2023-02-08 21:17:35
201,iqaluit,63.7506,-68.5145,-21.89,83,100,4.87,CA,2023-02-08 21:10:12
202,eydhafushi,5.1033,73.0708,26.83,69,96,1.65,MV,2023-02-08 21:17:36
203,koshurnikovo,54.1667,93.3,-11.25,97,100,0.6,RU,2023-02-08 21:17:37
204,purranque,-40.9167,-73.1667,29.63,31,1,2.07,CL,2023-02-08 21:17:37
205,yar-sale,66.8333,70.8333,-8.84,95,59,7.38,RU,2023-02-08 21:13:11
206,dhidhdhoo,6.8833,73.1,26.63,72,100,1.6,MV,2023-02-08 21:17:38
207,puerto boyaca,5.9758,-74.5885,33.9,43,23,0.13,CO,2023-02-08 21:17:38
208,milledgeville,33.0801,-83.2321,24.58,53,75,2.06,US,2023-02-08 21:15:24
209,zhuanghe,39.7008,122.9911,-1.0,36,100,2.3,CN,2023-02-08 21:17:39
210,ahuimanu,21.4447,-157.8378,26.84,56,20,11.83,US,2023-02-08 21:13:15
211,novobirilyussy,56.9514,90.6661,-16.26,98,97,1.81,RU,2023-02-08 21:17:39
212,henties bay,-22.116,14.2845,18.34,86,54,2.65,NA,2023-02-08 21:11:25
213,cayenne,4.9333,-52.3333,26.02,83,75,4.63,GF,2023-02-08 21:11:36
214,carnarvon,-24.8667,113.6333,25.95,72,24,7.44,AU,2023-02-08 21:08:20
215,havre-saint-pierre,50.2334,-63.5986,-2.0,86,75,5.66,CA,2023-02-08 21:17:41
216,nampula,-15.1165,39.2666,21.43,98,100,1.46,MZ,2023-02-08 21:17:41
217,broome,42.2506,-75.833,7.61,55,0,2.57,US,2023-02-08 21:11:48
218,bereda,43.2686,-7.5406,4.52,100,10,1.67,ES,2023-02-08 21:17:41
219,coffs harbour,-30.3,153.1333,20.07,94,40,1.03,AU,2023-02-08 21:14:31
220,hinton,53.4001,-117.5857,0.3,74,62,3.52,CA,2023-02-08 21:17:42
221,nador,35.174,-2.9287,13.14,82,40,2.57,MA,2023-02-08 21:11:58
222,krutinka,56.0055,71.5113,-23.92,100,77,3.51,RU,2023-02-08 21:17:44
223,saint-georges,12.0564,-61.7485,27.82,74,40,6.17,GD,2023-02-08 21:17:45
224,luwuk,-0.9516,122.7875,25.13,75,100,1.91,ID,2023-02-08 21:17:45
225,carinhanha,-14.3047,-43.765,27.51,56,45,1.85,BR,2023-02-08 21:17:45
226,taoudenni,22.6783,-3.9836,22.0,14,100,4.29,ML,2023-02-08 21:17:46
227,namibe,-15.1961,12.1522,22.07,72,100,5.29,AO,2023-02-08 21:17:46
228,sao paulo de olivenca,-3.3783,-68.8725,25.51,87,100,1.38,BR,2023-02-08 21:17:47
229,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,2023-02-08 21:17:47
230,the valley,18.217,-63.0578,26.08,73,40,7.2,AI,2023-02-08 21:17:48
231,ilulissat,69.2167,-51.1,-20.99,54,0,1.54,GL,2023-02-08 21:09:24
232,kampot,10.6167,104.1833,25.03,81,31,1.26,KH,2023-02-08 21:17:49
233,ancud,-41.8697,-73.8203,18.12,77,13,4.16,CL,2023-02-08 21:09:50
234,vila velha,-20.3297,-40.2925,26.97,65,20,4.63,BR,2023-02-08 21:11:44
235,marienburg,54.0359,19.0266,-0.54,89,18,4.5,PL,2023-02-08 21:17:26
236,quatre cocos,-20.2078,57.7625,26.16,82,26,5.07,MU,2023-02-08 21:10:22
237,whitecourt,54.1502,-115.6855,3.58,38,40,5.66,CA,2023-02-08 21:17:50
238,kalmunai,7.4167,81.8167,24.36,85,100,2.51,LK,2023-02-08 21:11:40
239,dauriya,49.9333,116.8667,-25.75,99,16,2.72,RU,2023-02-08 21:17:50
240,vostok,46.4856,135.8833,-24.0,99,100,1.88,RU,2023-02-08 21:11:20
241,la asuncion,11.0333,-63.8628,25.6,78,5,6.85,VE,2023-02-08 21:17:51
242,salinas,36.6777,-121.6555,20.44,53,0,3.6,US,2023-02-08 21:16:37
243,ingham,42.6,-84.3833,7.97,62,0,1.54,US,2023-02-08 21:17:52
244,oksfjord,70.2396,22.3479,8.1,62,100,13.33,NO,2023-02-08 21:17:52
245,magadan,59.5667,150.8,-26.95,79,60,3.23,RU,2023-02-08 21:17:53
246,rosario,-32.9468,-60.6393,31.95,45,0,2.57,AR,2023-02-08 21:17:01
247,ichinoseki,38.9167,141.1333,-1.45,78,42,5.29,JP,2023-02-08 21:17:53
248,okhotsk,59.3833,143.3,-29.32,84,51,5.23,RU,2023-02-08 21:08:43
249,lesozavodsk,45.4794,133.4244,-18.2,99,98,1.58,RU,2023-02-08 21:17:54
250,mgandu,-5.95,34.1333,16.52,94,100,1.66,TZ,2023-02-08 21:17:54
251,sinazongwe,-17.2614,27.4618,24.03,79,3,2.29,ZM,2023-02-08 21:17:55
252,westport,41.1415,-73.3579,11.59,49,0,4.47,US,2023-02-08 21:15:48
253,faanui,-16.4833,-151.75,26.99,73,20,5.12,PF,2023-02-08 21:10:03
254,bosobolo,4.1833,19.9,26.41,18,35,0.9,CD,2023-02-08 21:17:56
255,barhi,23.9,80.8,15.05,35,0,0.93,IN,2023-02-08 21:17:56
256,zhigansk,66.7697,123.3711,-42.31,98,99,3.4,RU,2023-02-08 21:10:23
257,lavrentiya,65.5833,-171.0,-24.34,90,100,1.58,RU,2023-02-08 21:11:29
258,thinadhoo,0.5333,72.9333,27.15,72,19,4.32,MV,2023-02-08 21:17:57
259,chokurdakh,70.6333,147.9167,-34.5,98,100,2.23,RU,2023-02-08 21:10:29
260,kitami,43.8031,143.8908,-8.82,89,100,1.89,JP,2023-02-08 21:15:27
261,guerrero negro,27.9769,-114.0611,20.9,20,0,3.23,MX,2023-02-08 21:08:45
262,orlik,52.5178,99.825,-24.72,96,98,1.03,RU,2023-02-08 21:17:58
263,saint george,37.1041,-113.5841,13.57,35,0,2.24,US,2023-02-08 21:07:11
264,sorland,67.667,12.6934,4.91,90,100,16.57,NO,2023-02-08 21:11:51
265,san quintin,30.4833,-115.95,18.13,31,5,4.21,MX,2023-02-08 21:10:54
266,benghazi,32.1167,20.0667,13.35,68,98,10.47,LY,2023-02-08 21:17:59
267,carsamba,41.1989,36.7219,2.86,75,75,5.14,TR,2023-02-08 21:17:59
268,bahar,34.9072,48.4414,-3.91,100,40,2.06,IR,2023-02-08 21:18:00
269,oia,40.5426,-8.5386,12.85,85,8,0.45,PT,2023-02-08 21:18:00
270,chokwe,-24.5333,32.9833,24.76,88,74,2.99,MZ,2023-02-08 21:18:01
271,khuzhir,53.1939,107.3397,-15.7,94,73,0.87,RU,2023-02-08 21:18:01
272,metro,-5.1131,105.3067,23.13,89,95,0.76,ID,2023-02-08 21:18:01
273,jabinyanah,35.035,10.9081,10.89,86,100,12.44,TN,2023-02-08 21:18:02
274,esso,55.9333,158.7,-21.81,100,94,1.37,RU,2023-02-08 21:18:04
275,tautira,-17.7333,-149.15,26.54,75,21,3.91,PF,2023-02-08 21:18:05
276,talnakh,69.4865,88.3972,-22.11,96,100,4.07,RU,2023-02-08 21:09:19
277,kerema,-7.9631,145.7785,24.6,88,100,1.75,PG,2023-02-08 21:18:05
278,angoche,-16.2325,39.9086,24.15,92,100,4.95,MZ,2023-02-08 21:18:06
279,port shepstone,-30.7414,30.455,21.83,90,100,7.79,ZA,2023-02-08 21:18:06
280,caravelas,-17.7125,-39.2481,26.16,77,38,3.82,BR,2023-02-08 21:11:00
281,hirara,24.8,125.2833,22.0,78,88,7.92,JP,2023-02-08 21:08:49
282,asau,46.4333,26.4,-10.49,93,33,2.12,RO,2023-02-08 21:10:03
283,dunedin,-45.8742,170.5036,10.85,66,38,7.27,NZ,2023-02-08 21:08:38
284,sydney,-33.8679,151.2073,21.51,91,75,3.09,AU,2023-02-08 21:09:39
285,shakiso,5.75,38.9167,14.9,49,46,1.65,ET,2023-02-08 21:18:07
286,rocha,-34.4833,-54.3333,25.79,59,98,8.53,UY,2023-02-08 21:08:30
287,tuatapere,-46.1333,167.6833,9.69,82,92,4.75,NZ,2023-02-08 21:09:41
288,esperance,-33.8667,121.9,19.03,71,100,5.48,AU,2023-02-08 21:08:33
289,harrisonburg,38.4496,-78.8689,18.71,34,100,0.98,US,2023-02-08 21:13:36
290,ust-kuyga,70.0167,135.6,-50.06,100,86,2.03,RU,2023-02-08 21:18:08
291,campbell river,50.0163,-125.2446,5.74,93,100,3.09,CA,2023-02-08 21:18:09
292,loutra,39.0569,26.545,2.39,75,40,5.14,GR,2023-02-08 21:18:10
293,juigalpa,12.1063,-85.3645,29.78,55,53,9.32,NI,2023-02-08 21:14:07
294,atar,20.5169,-13.0499,22.46,15,100,3.15,MR,2023-02-08 21:18:10
295,sheridan,44.8333,-106.9173,2.23,65,100,4.12,US,2023-02-08 21:18:11
296,bertinoro,44.1469,12.1389,3.65,68,40,6.69,IT,2023-02-08 21:18:12
297,bandarbeyla,9.4942,50.8122,23.85,81,9,3.94,SO,2023-02-08 21:09:08
298,grants pass,42.439,-123.3284,13.44,69,0,0.45,US,2023-02-08 21:09:50
299,oriximina,-1.7656,-55.8661,25.95,85,93,0.94,BR,2023-02-08 21:18:13
300,norman wells,65.282,-126.8329,-23.46,96,94,2.04,CA,2023-02-08 21:09:26
